investigated_by,incident#,gps_latitude,gps_longitude,date,time,county,location,troop,misc_information
TPR. D.L. HUGHES (1261),200240563,39.9217222,-94.679055,5/27/2020,2:30PM,ANDREW,US 169 - 1/2 MILE NORTH OF ROCHESTER,H,CRASH OCCURRED AS VEHICLE 1 WAS NORTHBOUND ON US 169 AND TRAVELED OFF OF THE EAST SIDE OF THE ROADWAY IN ORDER TO AVOID A COLLISION WITH ANOTHER VEHICLE.  VEHICLE 1 STRUCK A MAILBOX AND OVERTURNED ONE TIME BEFORE COMING TO REST ON ITS WHEELS FACING NORTHBOUND.  ASSISTED BY CPL. J.C. PHILLIPS (716).
SGT. D. R. BARBOUR (171),200217319,0,0,5/17/2020,12:48AM,MONITEAU,CLARKSBURG RD AT COUNTRY CLUB RD,F,"CRASH OCCURRED AS DRIVER 1 OF VEHICLE 1 VEHICLE WAS FLEEING FROM THE MONITEAU COUNTY SHERIFF'S DEPARTMENT AND CALIFORNIA POLICE DEPARTMENT, WENT OFF THE LEFT SIDE OF THE ROADWAY AND OVERTURNED.  ASSISTED BY THE MONITEAU COUNTY SHERIFF'S DEPARTMENT AND THE CALIFORNIA POLICE DEPARTMENT."
TPR BORGMEYER #194. ASSISTED BY QUEEN CITY POLICE DEPT AND SCHUYLER CO FIRST RESPONDERS.,200555606,40.593208,-92.522,11/6/2020,1:49PM,SCHUYLER,US 63 5 MILES NORTH OF LANCASTER,B,VEHICLE 1 WAS ATTEMPTING TO TURN INTO A PARKING LOT FROM THE WRONG SIDE OF THE ROAD AND PULLED INTO THE PATH OF VEHICLE 2.
TPR S. GLASS #560,200586164,36.979703,-94.552073,11/23/2020,8:10PM,JASPER,HWY 43 AT ELM DR - 4 MILES SOUTH OF JOPLIN,D,"CRASH OCCURRED AS VEHICLE 1 RAN A STOP SIGN, RAN OFF THE ROADWAY AND STRUCK A FENCE."
SGT. J.M. CROSS (446),200522211,39.876,-94.319361,10/17/2020,8:40PM,DEKALB,SE HEDGE RD - 2 MILES SE OF MAYSVILLE,H,CRASH OCCURRED AS VEH 1 WAS NORTHBOUND ON SE HEDGE RD AND LOST CONTROL. VEH 1 TRAVELED OFF THE WEST SIDE OF THE ROADWAY AND OVERTURNED.
CPL. E.R. KESSLER (890),200143542,0,0,3/14/2020,11:22PM,FRANKLIN,WESTBOUND ROUTE E WEST OF ROUTE Y,C,"VEHICLE 1 TRAVELLED OFF THE  RIGHT SIDE OF THE ROADWAY,  STRUCK A DRIVEWAY AND OVERTURNED."
TPR B.J. MAGNAN (1343),200282648,0,0,6/19/2020,11:15AM,JEFFERSON,MAPAVILLE HEMATITE RD SOUTH OF PLASS RD,C,VEHICLE 1 TRAVELLED OFF THE RIGHT SIDE OF THE ROADWAY AND STRUCK A TREE.
TPR B.T. QUIRING (907),200524553,39.7497222,-94.092916,10/19/2020,12:00PM,CALDWELL,US 36 EASTBOUND JUST E OF KIDDER RD 5 MILES EAST OF CAMERON MO,H,OCCURRED AS NR1 WAS EASTBOUND. NR1 RAN OFF  THE SOUTH SIDE OF THE ROADWAY AND CAME TO REST IN A CULVERT. ASSISTED BY TPR J.W. SMITH (372)
"CPL DAVIDSON #191, ASST BY KNOX COUNTY SHERIFF'S DEPT",200024658,40.185499,-92.161131,1/14/2020,6:53AM,KNOX,"OLD LAKE AVE  2 MILES NORTH OF EDINA, MO",B,VEH 1 LOST CONTROL ON ICE COVERED ROADWAY. VEH 1 TRAVELLED OFF THE LEFTSIDE OF ROADWAY AND STRUCK SEVERAL TREES.
SGT J.S. JOHNSON (513),200276494,40.1915277,-94.087027,6/16/2020,8:50AM,HARRISON,US 69 6 MILES SOUTH OF BETHANY MO,H,CRASH OCCURRED AS NR1 WAS SOUTHBOUND. NR1 RAN OFF THE WEST SIDE OF ROADWAY STRUCK AN EMBANKMENT BECAME AIRBORNE OVERTURNED ON TO ITS TOP IN A FIELD FACING EAST. ASSISTED BY TPR T.B. HEINZ (305) AND SO HARRISON CO.
